Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
K3,1,pinta,0.804573805,12.39,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,19.5,46.7,139.4871795,4.655,8.315,78.62513426
K4,1,pinri,0.6921797,16.12,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,20,54.5,172.5,3.5,8.07,130.5714286
K5,1,picru,0.734767025,7.99,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,22,29.9,35.90909091,3.43,5.475,59.62099125
K6,1,pinst,2.48,5.71,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,11.5,23.2,101.7391304,3.535,4.445,25.74257426
L1,1,picgl,0.721818182,25.16,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,25,38.2,52.8,4.9,9.83,100.6122449
L2,1,quepr,1.195099541,85.63,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,72,85,18.05555556,6.055,11.075,82.90668869
L3,1,pinba,0.559160305,14.34,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,11.9,53,345.3781513,3.325,6.565,97.44360902
L4,1,quepr,1.450461538,46.64,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,69,78.9,14.34782609,7.35,9.875,34.3537415
L5,1,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
L6,1,picru,1.098591549,2.01,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,13,16.5,26.92307692,3.115,3.14,0.802568218
M1,1,abiba,1.274509804,4.11,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,13.6,19.5,43.38235294,2.8,4.335,54.82142857
M2,1,picgl,0.485549133,3.19,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,24,33,37.5,2.8,3.305,18.03571429
M3,1,aceru,0.9875,1.68,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,31.5,17.8,-43.49206349,2.66,3.56,33.83458647
M4,1,pinvi,0.918367347,4.5,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,10.5,41.2,292.3809524,2.625,4.725,80
M5,1,robps,0.294044303,984.76,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,42.8,240,460.7476636,3.605,33.135,819.1400832
M6,1,robps,0.431633246,462.72,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,38,173,355.2631579,3.43,23.305,579.4460641
N1,1,pinta,2.272727273,4.31,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,6.5,22,238.4615385,3.465,6.975,101.2987013
N2,1,queru,4.697478992,7.82,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,13.4,18,34.32835821,3.395,4.055,19.44035346
N3,1,pinri,0.375,7.1,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,14.5,44.4,206.2068966,2.38,5.045,111.9747899
N4,1,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
