date,Labtech,site,ID,sp.,"organ (r,s,l)",beaker standard weight (g),mass of dried sample with container weight (m1) (g),sample mass (g),remarks
5/11/21,ED,,i2,pinba,r,,,21.54,no site on bag
5/11/21,ED,1,n1,pinta,s,,,0.77,
5/11/21,ED,1,n1,pinta,l,,,1.79,
5/11/21,ED,1,l2,quepr,l,,,13.96,
5/11/21,ED,1,r2,quepr,r,,,27.29,
5/11/21,ED,1,r2,quepr,l,,,8.79,
5/11/21,ED,1,k6,pinst,r,,,2.48,
5/11/21,ED,1,m2,picgl,r,,,0.84,
5/11/21,ED,1,k6,pinst,s,,,1,
5/11/21,ED,1,k6,pinst,l,,,2.23,
5/11/21,ED,1,o1,pinvi,s,,,3.45,
5/11/21,ED,1,o1,pinvi,l,,,4.19,
5/11/21,ED,1,n2,queru,r,,,5.59,
5/11/21,ED,1,l2,quepr,r,,,39.02,
5/11/21,ED,1,n1,pinta,r,,,1.75,
5/11/21,ED,1,n2,queru,l,,,1.04,
5/11/21,ED,1,g5,pin,r,,,13.68,
5/11/21,ED,1,h3,queal,r,,,4.64,
5/11/21,ED,1,m1,abiba,r,,,1.3,
5/11/21,ED,1,h2,junvi,s,,,2.96,
5/11/21,ED,1,h2,junvi,l,,,2.36,
5/11/21,ED,1,p2,junvi,r,,,1.08,
5/12/21,ED,1,g4,picgl,s,,,1.37,
5/12/21,ED,1,g4,picgl,l,,,0.32,
5/12/21,ED,1,g4,picgl,r,,,0.69,
5/12/21,ED,1,h2,junvi,r,,,3.66,
5/12/21,ED,1,o1,pinvi,r,,,2.25,
5/12/21,ED,1,g1,robsp,r,,,54.98,
5/12/21,ED,1,g1,robsp,l,,,37.54,
5/12/21,ED,1,g1,robsp,s,,,184.56,
5/12/21,ED,1,r2,quepr,s,,,14.81,
5/12/21,ED,1,r4,pinri,s,,,17.95,
5/12/21,ED,1,r4,pinri,l,,,13.75,
5/12/21,ED,1,f5,pinba,s,,,27.06,
5/12/21,ED,1,f5,pinba,l,,,11.13,
5/12/21,ED,1,h6,pinvi,r,,,2.21,
5/12/21,ED,1,h6,pinvi,s,,,2.58,
5/12/21,ED,1,h6,pinvi,l,,,4.99,
5/12/21,ED,1,j3,pin,r,,,2.51,
5/12/21,ED,1,h3,queal,l,,,1.5,
5/12/21,ED,1,l2,quepr,s,,,32.65,
5/12/21,ED,,j1,junvi,s,,,1.71,
5/12/21,ED,,j1,junvi,l,,,2.52,
5/12/21,ED,1,g5,pin,s,,,17.34,
5/12/21,ED,1,g5,pin,l,,,17.13,
5/12/21,ED,1,h4,robsp,l,,,110.75,1 of 2
5/12/21,ED,1,l1,picgl,r,,,7.94,
5/12/21,ED,,j1,junvi,r,,,0.89,
5/12/21,ED,1,f5,pinba,r,,,12.66,
5/12/21,ED,1,f5,pinta,s,,,5.11,
5/12/21,ED,1,f5,pinta,l,,,5.76,
5/12/21,ED,1,f4,pinta,r,,,5.14,
5/12/21,ED,1,e5,pinvi,s,,,0.62,
5/12/21,ED,1,e5,pinvi,l,,,1.35,
5/12/21,ED,1,e5,pinvi,r,,,0.61,
5/12/21,ED,1,f2,robsp,l,,,101.65,
5/12/21,ED,1,f2,robsp,r,,,124.48,
5/12/21,ED,1,f3,abiba,s,,,0.94,
5/12/21,ED,1,f3,abiba,l,,,1.25,
5/12/21,ED,1,g3,picru,s,,,0.96,
5/12/21,ED,1,g3,picru,l,,,1.4,
5/12/21,ED,1,h3,queal,r,,,,nothing in the sample bag
5/12/21,ED,1,k1,pruse,s,,,0.89,
5/12/21,ED,1,k1,pruse,r,,,10.04,
5/12/21,ED,1,c3,queru,l,,,0.31,
5/12/21,ED,1,c3,queru,s,,,1.38,
5/12/21,ED,1,k1,pruse,l,,,0.8,
5/12/21,ED,1,d2,aceru,s,,,0.79,
5/12/21,ED,1,g3,picru,r,,,1.27,
5/12/21,ED,1,g2,pruse,s,,,3.5,
5/12/21,ED,1,g2,pruse,l,,,0.82,
5/12/21,ED,1,d2,aceru,l,,,0.1,
5/12/21,ED,1,e1,pinri,s,,,3.14,
5/12/21,ED,1,e1,pinri,l,,,4.47,
5/12/21,ED,1,c2,pinst,r,,,11.49,
5/12/21,ED,1,b3,pinri,s,,,9.99,
5/12/21,ED,1,b3,pinri,l,,,13.86,
5/12/21,ED,1,b5,picru,s,,,2.34,
5/12/21,ED,1,b5,picru,l,,,1.98,
5/12/21,ED,1,e2,quepr,s,,,33.02,
5/12/21,ED,1,f2,robsp,s,,,401.38,
5/12/21,ED,1,c3,queru,r,,,3.82,
5/12/21,ED,1,e2,queru,r,,,32.27,
5/12/21,ED,1,a3,pinri,s,,,9.13,
5/12/21,ED,1,a3,pinri,l,,,7.98,
5/12/21,ED,1,c2,pinst,s,,,15.72,
5/12/21,ED,1,c2,pinst,l,,,14.2,
5/12/21,ED,1,b1,aceru,l,,,0.39,
5/12/21,ED,1,b2,,r,,,4.19,
5/12/21,ED,1,a4,abiba,r,,,2.61,
5/12/21,ED,1,a4,abiba,s,,,4.08,
5/12/21,ED,1,a4,abiba,l,,,3.44,
5/12/21,ED,1,b1,aceru,r,,,2.16,
5/12/21,ED,1,a5,junvi,s,,,3.27,bag had no ID on it
5/12/21,ED,1,a5,junvi,l,,,4.13,
5/12/21,ED,1,c1,queru,r,,,21.41,
5/12/21,ED,1,a3,,r,,,6.75,bag had no ID on it 
5/12/21,ED,1,f3,abiba,r,,,0.89,
5/12/21,ED,1,a5,junvi,r,,,4.87,
5/12/21,ED,1,d4,quepr,l,,,6.31,
5/12/21,ED,1,e2,quepr,l,,,11.8,
5/12/21,ED,1,b5,picru,r,,,1.78,
5/12/21,ED,1,c1,queru,s,,,11.35,
5/12/21,ED,1,e1,pinri,r,,,2.85,
5/12/21,ED,1,d4,quepr,s,,,9.36,
5/12/21,ED,1,g2,pruse,r,,,4.32,
5/12/21,ED,1,d4,quepr,r,,,20.09,
5/12/21,ED,1,b2,,s,,,7.96,no ID on bag
5/12/21,ED,1,b2,,l,,,11.26,no ID on bag
5/12/21,ED,1,cl,quepr,l,,,8.28,
5/12/21,ED,1,b1,aciru,s,,,1.37,
5/12/21,ED,1,b3,pinri,r,,,7.58,
5/12/21,ED,1,d2,aceru,r,,,0.95,
