Site,date,Scout
3-Summit,6/12/17,15.9829129
3-Summit,6/16/17,16.6123522
3-Summit,6/20/17,16.5551305
3-Summit,6/23/17,18.9012225
3-Summit,6/28/17,18.1001179
3-Summit,7/3/17,17.4706786
3-Summit,7/7/17,19.9312141
3-Summit,7/11/17,12.2634987
3-Summit,7/14/17,11.6912812
3-Summit,7/19/17,15.4679171
3-Summit,7/26/17,15.010143
3-Summit,8/2/17,9.9174067
3-Summit,8/16/17,7.8002017
3-Summit,8/30/17,6.5413231
3-Summit,9/13/17,16.2690217
3-Summit,9/21/17,15.3534736
3-Summit,9/26/17,14.6668125
3-Summit,5/7/18,18.5578919
3-Summit,5/15/18,16.7267957
3-Summit,5/22/18,16.6123522
3-Summit,5/30/18,15.7540259
3-Summit,6/7/18,18.4434484
4-Schoodic,5/22/17,14.6181932
4-Schoodic,5/26/17,28.466369
4-Schoodic,5/31/17,19.6538935
4-Schoodic,6/2/17,20.5152633
4-Schoodic,6/6/17,22.0392252
4-Schoodic,6/8/17,19.9851896
4-Schoodic,6/13/17,19.3888566
4-Schoodic,6/16/17,14.9494893
4-Schoodic,6/20/17,24.3582977
4-Schoodic,6/23/17,23.828224
4-Schoodic,6/28/17,22.9668542
4-Schoodic,7/3/17,19.190079
4-Schoodic,7/7/17,26.2798149
4-Schoodic,7/11/17,19.5213751
4-Schoodic,7/14/17,21.6416699
4-Schoodic,7/19/17,27.53874
4-Schoodic,7/26/17,19.190079
4-Schoodic,8/2/17,17.7986355
4-Schoodic,8/16/17,18.3949684
4-Schoodic,8/30/17,15.6783407
4-Schoodic,9/13/17,20.9790778
4-Schoodic,9/22/17,20.6477817
4-Schoodic,9/26/17,13.0279721
4-Schoodic,5/3/18,24.2920385
4-Schoodic,5/7/18,23.7619648
4-Schoodic,5/15/18,24.2257793
4-Schoodic,5/22/18,25.5509636
4-Schoodic,5/30/18,22.6355581
4-Schoodic,6/6/18,23.2981503
